epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1335.46,0.71628,1.7156,1.12259,0.68098,0.72324,0.75688,0.60205,0.64691,1.82393,1.09143,0.000549997,0.000549997,0.000549997
2,2492.4,0.64827,1.13526,1.03997,0.74287,0.49632,0.3881,0.23902,0.89346,6.62855,1.28765,0.00108377,0.00108377,0.00108377
3,4602.2,0.63644,0.94437,1.03359,0.85292,0.87687,0.90566,0.78133,0.5742,0.93881,1.01931,0.00159554,0.00159554,0.00159554
4,5663.61,0.62082,0.82219,1.02137,0.82874,0.87043,0.92322,0.8037,0.54921,0.83556,0.99803,0.00156798,0.00156798,0.00156798
5,9210.78,0.60149,0.74219,1.00821,0.85164,0.88303,0.93741,0.83686,0.48506,0.63955,0.95697,0.00153497,0.00153497,0.00153497
6,9854.73,0.59384,0.70313,1.00246,0.88775,0.89392,0.95574,0.84604,0.51106,0.52469,0.96805,0.00150197,0.00150197,0.00150197
7,10474.2,0.57718,0.67827,0.99154,0.87988,0.90911,0.95735,0.86192,0.48193,0.48297,0.95272,0.00146896,0.00146896,0.00146896
