epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,91670.5,0.5004,0.51855,0.95635,0.92099,0.93755,0.97724,0.89162,0.44284,0.36974,0.91961,0.000940855,0.000940855,0.000940855
24,115148,0.49851,0.52235,0.95785,0.90907,0.92687,0.97643,0.89102,0.44058,0.40552,0.91989,0.000907848,0.000907848,0.000907848
25,117553,0.49327,0.50385,0.95746,0.91338,0.9651,0.98299,0.9022,0.43962,0.33787,0.92025,0.000874842,0.000874842,0.000874842
26,119161,0.48573,0.48376,0.94943,0.91765,0.95722,0.97737,0.89663,0.4417,0.3421,0.92419,0.000841835,0.000841835,0.000841835
27,120816,0.49157,0.48779,0.9529,0.93319,0.95973,0.9853,0.90718,0.43119,0.30964,0.91657,0.000808828,0.000808828,0.000808828
28,122380,0.47124,0.47442,0.94559,0.91257,0.94217,0.97846,0.89985,0.42247,0.35283,0.91054,0.000775822,0.000775822,0.000775822
29,165419,0.48501,0.47492,0.95304,0.94834,0.9494,0.98436,0.90708,0.4203,0.30739,0.9083,0.000742815,0.000742815,0.000742815
30,166013,0.48097,0.47951,0.94493,0.94104,0.9407,0.98507,0.91003,0.41805,0.32141,0.9066,0.000709809,0.000709809,0.000709809
31,166717,0.47546,0.47345,0.945,0.93179,0.91879,0.98437,0.90025,0.43243,0.35118,0.91142,0.000676802,0.000676802,0.000676802
32,167354,0.47375,0.47714,0.94628,0.92487,0.9436,0.9775,0.90238,0.43122,0.33174,0.91423,0.000643795,0.000643795,0.000643795
33,169682,0.47523,0.48202,0.94343,0.92834,0.90098,0.98222,0.90473,0.42505,0.35807,0.91146,0.000610789,0.000610789,0.000610789
34,170313,0.46644,0.45708,0.94547,0.93259,0.95374,0.98469,0.90581,0.42726,0.31399,0.90828,0.000577782,0.000577782,0.000577782
35,170959,0.46899,0.47083,0.9428,0.92461,0.92527,0.97989,0.9021,0.43207,0.31604,0.91277,0.000544776,0.000544776,0.000544776
36,171593,0.46297,0.44471,0.94271,0.9235,0.96206,0.98726,0.91176,0.42529,0.28753,0.90853,0.000511769,0.000511769,0.000511769
37,172212,0.46069,0.43987,0.93855,0.89048,0.95246,0.97807,0.90312,0.42201,0.34597,0.90822,0.000478762,0.000478762,0.000478762
38,172884,0.45218,0.43875,0.93879,0.93137,0.89837,0.98715,0.9137,0.41473,0.33028,0.90267,0.000445756,0.000445756,0.000445756
39,174160,0.44884,0.43918,0.9351,0.92992,0.95029,0.98737,0.91954,0.41728,0.29397,0.90414,0.000412749,0.000412749,0.000412749
40,174782,0.44359,0.4222,0.93506,0.91461,0.91903,0.98529,0.91797,0.40921,0.32957,0.90021,0.000379743,0.000379743,0.000379743
41,175417,0.42154,0.32768,0.91336,0.92327,0.95981,0.98516,0.91124,0.41784,0.29897,0.90253,0.000346736,0.000346736,0.000346736
42,176045,0.4199,0.3444,0.91705,0.96471,0.92631,0.98718,0.91746,0.40716,0.28728,0.90048,0.000313729,0.000313729,0.000313729
43,177248,0.41282,0.32874,0.90889,0.91752,0.95425,0.98809,0.91886,0.4152,0.30313,0.90197,0.000280723,0.000280723,0.000280723
44,177874,0.41451,0.31848,0.91394,0.95027,0.9051,0.98474,0.91284,0.41332,0.31657,0.9029,0.000247716,0.000247716,0.000247716
45,188897,0.41173,0.31635,0.91138,0.95073,0.95059,0.98706,0.91827,0.40694,0.27764,0.89842,0.00021471,0.00021471,0.00021471
46,190404,0.40869,0.31047,0.91731,0.94709,0.95206,0.98742,0.91968,0.4089,0.26753,0.89939,0.000181703,0.000181703,0.000181703
47,192159,0.40617,0.30419,0.90555,0.93531,0.95524,0.98624,0.91996,0.4064,0.2706,0.898,0.000148696,0.000148696,0.000148696
48,194809,0.4057,0.29778,0.91005,0.92714,0.95483,0.98436,0.91716,0.40997,0.29127,0.89808,0.00011569,0.00011569,0.00011569
49,195441,0.39825,0.29406,0.91187,0.93947,0.93376,0.98555,0.92176,0.40557,0.27946,0.89566,8.26832e-05,8.26832e-05,8.26832e-05
50,196069,0.39894,0.28855,0.90557,0.9243,0.95728,0.98532,0.92199,0.40317,0.2804,0.89562,4.96766e-05,4.96766e-05,4.96766e-05
